 [ distance :-15 , Curvature -38 , goc_lech: 20.3125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.225 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.975 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 21.3625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 21.0125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 21.1875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.2375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.725 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.7625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.3125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.5125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -33 , goc_lech: 20.3125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 20.3625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 21.075 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 20.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -36 , goc_lech: 21.55 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.95 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.725 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 21.225 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.350000000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
