 [ distance :18 , Curvature -4 , goc_lech: 40.806481481481484 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.90046296296297 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -4 , goc_lech: 40.44398148148148 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -3 , goc_lech: 40.86018518518518 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.967592592592595 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.90046296296297 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -7 , goc_lech: 40.242592592592594 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.25601851851852 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.56481481481482 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -4 , goc_lech: 41.33009259259259 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.46435185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.20925925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -5 , goc_lech: 41.24953703703704 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.927314814814814 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -6 , goc_lech: 40.22916666666667 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 40.53796296296297 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -5 , goc_lech: 40.833333333333336 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.537962962962965 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.20925925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.15555555555556 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.16898148148149 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -4 , goc_lech: 41.088425925925925 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -6 , goc_lech: 40.77962962962963 , toc_do: 98real_velocity: 0.00 m/s]
